tract_id,COUNTY,svi,population,lat,lon,flood_days,nearest_station,elevation_m,infra_count,storm_count,river_dist_mi,low_lying_norm,flood_days_norm,stormwater_norm,riverine_norm,compound_flood_norm,svi_norm,infrastructure_norm,coverage_norm,score
48167720602,Galveston County,0.1294,3208,29.4559377,-95.0913162,34.0,"Eagle Point, TX",9.0,0.0,0.0,,0.8888888888888888,1.0,0.0,0.0,0.9444444444444444,0.12947768661196718,0.0,0.48582422407158443,0.5124257283907486
48167721205,Galveston County,0.1122,5905,29.5209786,-95.0547974,34.0,"Eagle Point, TX",6.0,0.0,0.0,,0.9259259259259259,1.0,0.0,0.0,0.962962962962963,0.11226736041624975,0.0,0.4506134680720993,0.5120748882654182
48201254800,Harris County,0.922,2738,29.7455562,-95.008638,10.666666666666666,"Morgans Point, TX",11.0,0.0,0.0,,0.8641975308641976,0.0,0.0,0.0,0.4320987654320988,0.9225535321192716,0.0,0.40068536108524666,0.5112790401887506
48167721208,Galveston County,0.0996,1165,29.5286473,-95.0200429,34.0,"Eagle Point, TX",7.0,0.0,0.0,,0.9135802469135803,1.0,0.0,0.0,0.9567901234567902,0.09965979587752652,0.0,0.4781497882825525,0.5082684731470688
48201323500,Harris County,0.9966,5524,29.663573,-95.2013272,10.666666666666666,"Morgans Point, TX",13.0,0.0,0.0,,0.8395061728395061,0.0,0.0,0.0,0.41975308641975306,0.9971983189913949,0.0,0.18323442318510588,0.506371826904818
48201254300,Harris County,0.9007,5704,29.7418815,-94.974773,10.666666666666666,"Morgans Point, TX",12.0,0.0,0.0,,0.8518518518518519,0.0,0.0,0.0,0.425925925925926,0.901240744446668,0.0,0.4425471808592562,0.5062936080865927
48201254700,Harris County,0.8918,2257,29.7034554,-94.9581652,10.666666666666666,"Morgans Point, TX",12.0,0.0,0.0,,0.8518518518518519,0.0,0.0,0.0,0.425925925925926,0.8923354012407445,0.0,0.46421590816521197,0.5057888778554113
48201323601,Harris County,0.9864,3578,29.6521843,-95.1931237,10.666666666666666,"Morgans Point, TX",13.0,0.0,0.0,,0.8395061728395061,0.0,0.0,0.0,0.41975308641975306,0.9869921953171904,0.0,0.20018237941581418,0.5050047854256274
48167721503,Galveston County,0.1117,1457,29.5458732,-95.0309379,34.0,"Eagle Point, TX",9.0,0.0,0.0,,0.8888888888888888,1.0,0.0,0.0,0.9444444444444444,0.11176706023614168,0.0,0.4528423770147582,0.5038143557723183
48201323900,Harris County,0.9944,3141,29.6744801,-95.1649829,10.666666666666666,"Morgans Point, TX",15.0,0.0,0.0,,0.8148148148148149,0.0,0.0,0.0,0.40740740740740744,0.9949969981989194,0.0,0.2184492997767106,0.5036773627706802
48201253800,Harris County,0.8937,8722,29.766428,-94.9479552,10.666666666666666,"Morgans Point, TX",14.0,0.0,0.0,,0.8271604938271605,0.0,0.0,0.0,0.41358024691358025,0.8942365419251552,0.0,0.4785419828198938,0.502236271970647
